DetId/i, BinaryDetId/B, Section/C, Layer/I, Ring/I, sensorCenterRho_mm/D, sensorCenterZ_mm/D, phi_deg/D
441205841,00011010010011000100010001010001,TB2S, 1, 8, 700.950000, 739.378030, 120.000000
441205845,00011010010011000100010001010101,TB2S, 1, 9, 704.650000, 842.305327, 120.000000
441205846,00011010010011000100010001010110,TB2S, 1, 9, 706.450000, 842.305327, 120.000000
441205850,00011010010011000100010001011010,TB2S, 1, 10, 699.150000, 932.393155, 120.000000
441205849,00011010010011000100010001011001,TB2S, 1, 10, 700.950000, 932.393155, 120.000000
441205853,00011010010011000100010001011101,TB2S, 1, 11, 704.650000, 1035.971490, 120.000000
441205854,00011010010011000100010001011110,TB2S, 1, 11, 706.450000, 1035.971490, 120.000000
441205858,00011010010011000100010001100010,TB2S, 1, 12, 699.150000, 1123.964390, 120.000000
441205857,00011010010011000100010001100001,TB2S, 1, 12, 700.950000, 1123.964390, 120.000000
441205810,00011010010011000100010000110010,TB2S, 1, 1, 699.150000, -44.308243, 120.000000
441205809,00011010010011000100010000110001,TB2S, 1, 1, 700.950000, -44.308243, 120.000000
441205805,00011010010011000100010000101101,TB2S, 1, 2, 704.650000, -144.891078, 120.000000
441205806,00011010010011000100010000101110,TB2S, 1, 2, 706.450000, -144.891078, 120.000000
441205802,00011010010011000100010000101010,TB2S, 1, 3, 699.150000, -242.522989, 120.000000
441205801,00011010010011000100010000101001,TB2S, 1, 3, 700.950000, -242.522989, 120.000000
441205797,00011010010011000100010000100101,TB2S, 1, 4, 704.650000, -343.774399, 120.000000
441205798,00011010010011000100010000100110,TB2S, 1, 4, 706.450000, -343.774399, 120.000000
441205794,00011010010011000100010000100010,TB2S, 1, 5, 699.150000, -439.254946, 120.000000
441205793,00011010010011000100010000100001,TB2S, 1, 5, 700.950000, -439.254946, 120.000000
441205789,00011010010011000100010000011101,TB2S, 1, 6, 704.650000, -541.169931, 120.000000
441205790,00011010010011000100010000011110,TB2S, 1, 6, 706.450000, -541.169931, 120.000000
441205786,00011010010011000100010000011010,TB2S, 1, 7, 699.150000, -634.169931, 120.000000
441205785,00011010010011000100010000011001,TB2S, 1, 7, 700.950000, -634.169931, 120.000000
441205781,00011010010011000100010000010101,TB2S, 1, 8, 704.650000, -736.742363, 120.000000
